dataset,FreshPRINCE,HC2,Hydra-MR,InceptionT,PF,RDST,RSTSF,WEASEL-D,ECR,ECRTime
ScreenType,0.584,0.570666667,0.557333333,0.594666667,0.464,0.522666667,0.552,0.437333333,0.64,0.629333333
SemgHandGenderCh2,0.958333333,0.966666667,0.951666667,0.873333333,0.97,0.92,0.973333333,0.948333333,0.818333333,0.836666667
SemgHandMovementCh2,0.893333333,0.862222222,0.777777778,0.584444444,0.871111111,0.7,0.855555556,0.664444444,0.355555556,0.388888889
SemgHandSubjectCh2,0.946666667,0.931111111,0.9,0.733333333,0.935555556,0.862222222,0.917777778,0.886666667,0.562222222,0.564444444
ShapeletSim,1,1,1,0.994444444,0.8,0.988888889,0.983333333,1,0.85,0.872222222
ShapesAll,0.861666667,0.92,0.925,0.925,0.886666667,0.928333333,0.861666667,0.931666667,0.931666667,0.931666667
SmallKitchenAppliances,0.816,0.845333333,0.802666667,0.778666667,0.752,0.834666667,0.821333333,0.757333333,0.781333333,0.789333333
SmoothSubspace,0.973333333,0.986666667,0.973333333,0.98,1,1,0.973333333,0.98,0.98,0.986666667
SonyAIBORobotSurface1,0.918469218,0.903494176,0.890183028,0.878535774,0.836938436,0.868552413,0.881863561,0.943427621,0.915141431,0.935108153
SonyAIBORobotSurface2,0.916054565,0.917103882,0.944386149,0.951731375,0.898216159,0.883525708,0.863588667,0.938090241,0.960125918,0.96956978
StarLightCurves,0.979723167,0.983001457,0.981665857,0.978387567,0.981180185,0.982637203,0.979966003,0.982515784,0.975473531,0.976809131
Strawberry,0.959459459,0.978378378,0.972972973,0.983783784,0.967567568,0.975675676,0.964864865,0.978378378,0.983783784,0.981081081
SwedishLeaf,0.9392,0.9648,0.9792,0.9696,0.9456,0.9696,0.9568,0.9792,0.9632,0.968
Symbols,0.972864322,0.972864322,0.981909548,0.984924623,0.966834171,0.979899497,0.970854271,0.982914573,0.982914573,0.981909548
SyntheticControl,0.996666667,1,0.996666667,0.996666667,0.996666667,0.993333333,0.993333333,0.996666667,0.996666667,0.996666667
ToeSegmentation1,0.815789474,0.964912281,0.951754386,0.964912281,0.921052632,0.942982456,0.877192982,0.964912281,0.956140351,0.956140351
ToeSegmentation2,0.861538462,0.930769231,0.915384615,0.946153846,0.869230769,0.907692308,0.884615385,0.915384615,0.923076923,0.953846154
Trace,1,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.991220369,0.999122037,0.998244074,0.995610184,0.987708516,0.995610184,0.992976295,1,0.998244074,0.999122037
TwoPatterns,0.997,1,1,1,1,1,0.99675,0.99625,1,1
UMD,0.986111111,0.993055556,0.993055556,0.986111111,0.993055556,1,0.993055556,0.986111111,0.993055556,0.993055556
UWaveGestureLibraryAll,0.963707426,0.975153546,0.980737018,0.950865438,0.972082635,0.980178671,0.957844779,0.957844779,0.85678392,0.866275824
UWaveGestureLibraryX,0.840312674,0.856225572,0.872417644,0.822166387,0.827191513,0.854829704,0.827470687,0.840591848,0.78866555,0.796482412
UWaveGestureLibraryY,0.768285874,0.777777778,0.809882747,0.771356784,0.765494137,0.763539922,0.757398102,0.762702401,0.700446678,0.708821887
UWaveGestureLibraryZ,0.785873814,0.798157454,0.821328867,0.768565047,0.763539922,0.797599107,0.77638191,0.78866555,0.752093802,0.763819095
Wafer,1,1,0.999675535,0.998702141,0.995619727,1,0.999837768,0.999026606,0.998539909,0.998539909
Wine,0.796296296,0.87037037,0.907407407,0.62962963,0.592592593,0.888888889,0.740740741,0.907407407,0.833333333,0.777777778
WordSynonyms,0.653605016,0.763322884,0.777429467,0.744514107,0.78369906,0.750783699,0.661442006,0.739811912,0.590909091,0.60031348
Worms,0.818181818,0.753246753,0.753246753,0.805194805,0.74025974,0.714285714,0.792207792,0.688311688,0.857142857,0.831168831
WormsTwoClass,0.831168831,0.818181818,0.779220779,0.766233766,0.792207792,0.805194805,0.779220779,0.74025974,0.779220779,0.818181818
Yoga,0.914666667,0.928666667,0.929333333,0.905,0.877666667,0.931,0.865666667,0.925666667,0.879333333,0.896666667
